iter	Passed	Remaining
0	57	57542
1	58	28958
2	58	19423
3	58	14663
4	59	11799
5	59	9890
6	60	8519
7	60	7507
8	60	6704
9	61	6078
10	61	5564
11	62	5130
12	62	4763
13	63	4448
14	63	4177
15	64	3938
16	64	3723
17	64	3534
18	65	3368
19	65	3216
20	65	3076
21	66	2948
22	66	2834
23	67	2727
24	67	2629
25	67	2537
26	68	2456
27	68	2379
28	68	2307
29	69	2239
30	69	2179
31	70	2122
32	70	2066
33	70	2014
34	71	1967
35	71	1922
36	72	1878
37	72	1835
38	72	1795
39	73	1757
40	73	1720
41	73	1687
42	74	1654
43	74	1623
44	75	1594
45	75	1566
46	75	1538
47	76	1513
48	77	1495
49	77	1470
50	77	1446
51	78	1425
52	78	1404
53	78	1383
54	79	1362
55	79	1342
56	80	1324
57	80	1306
58	80	1288
59	81	1271
60	81	1254
61	81	1238
62	82	1223
63	82	1209
64	83	1196
65	83	1183
66	83	1169
67	84	1157
68	84	1145
69	85	1132
70	85	1120
71	86	1108
72	86	1097
73	86	1086
74	87	1074
75	87	1067
76	88	1056
77	88	1045
78	88	1035
79	89	1025
80	89	1015
81	89	1007
82	90	996
83	90	988
84	91	980
85	91	972
86	91	964
87	92	957
88	92	950
89	93	943
90	93	936
91	94	928
92	94	921
93	94	915
94	95	908
95	96	904
96	96	898
97	97	892
98	97	888
99	98	883
100	98	877
101	98	870
102	99	864
103	99	859
104	100	853
105	100	848
106	101	843
107	101	839
108	102	833
109	102	828
110	102	822
111	103	816
112	103	812
113	103	807
114	104	802
115	104	797
116	104	791
117	105	786
118	105	781
119	105	776
120	106	772
121	106	767
122	106	762
123	107	758
124	107	755
125	108	752
126	108	747
127	109	743
128	109	739
129	109	735
130	110	731
131	110	727
132	110	723
133	111	719
134	111	715
135	112	712
136	112	708
137	112	705
138	113	701
139	113	697
140	114	694
141	114	690
142	114	687
143	115	684
144	115	680
145	115	677
146	116	674
147	116	672
148	117	669
149	117	666
150	118	663
151	118	661
152	118	658
153	119	655
154	119	651
155	119	649
156	120	646
157	120	644
158	121	641
159	121	638
160	121	635
161	122	633
162	123	632
163	123	630
164	124	628
165	124	625
166	124	623
167	125	620
168	125	618
169	126	616
170	126	613
171	127	611
172	127	610
173	128	608
174	128	606
175	129	604
176	129	601
177	129	599
178	130	597
179	130	595
180	131	593
181	131	591
182	131	588
183	132	586
184	132	584
185	133	582
186	133	580
187	133	578
188	134	576
189	134	575
190	135	573
191	135	572
192	136	570
193	136	568
194	137	565
195	137	564
196	138	562
197	138	560
198	138	559
199	139	557
200	139	555
201	140	553
202	140	551
203	141	550
204	141	548
205	141	546
206	142	544
207	142	543
208	143	541
209	143	539
210	143	537
211	144	536
212	144	534
213	145	532
214	145	531
215	145	529
216	146	527
217	146	525
218	146	523
219	147	522
220	147	520
221	148	519
222	148	517
223	149	516
224	149	514
225	149	512
226	150	511
227	150	509
228	151	508
229	151	506
230	151	505
231	152	503
232	152	502
233	153	501
234	153	500
235	154	498
236	154	497
237	155	496
238	155	494
239	155	493
240	156	491
241	156	490
242	156	488
243	157	487
244	157	485
245	158	484
246	158	482
247	158	481
248	159	479
249	159	478
250	159	477
251	160	475
252	160	474
253	161	473
254	161	471
255	161	470
256	162	469
257	162	468
258	163	467
259	163	466
260	164	465
261	164	464
262	165	462
263	165	462
264	166	461
265	166	460
266	167	459
267	167	458
268	168	456
269	168	455
270	169	455
271	169	453
272	170	452
273	170	451
274	170	450
275	171	449
276	171	448
277	172	447
278	172	446
279	173	444
280	173	443
281	173	442
282	174	441
283	174	440
284	175	439
285	175	438
286	175	437
287	176	436
288	176	434
289	177	433
290	177	432
291	178	431
292	178	430
293	178	429
294	179	427
295	179	427
296	180	426
297	180	425
298	181	424
299	181	423
300	181	422
301	182	421
302	182	420
303	182	418
304	183	417
305	183	416
306	184	415
307	184	414
308	185	413
309	185	412
310	185	411
311	186	410
312	186	409
313	187	408
314	187	407
315	187	406
316	188	405
317	188	404
318	188	403
319	189	402
320	189	401
321	190	400
322	190	399
323	191	398
324	191	397
325	191	396
326	192	395
327	192	394
328	193	394
329	194	395
330	194	394
331	195	393
332	195	392
333	196	391
334	196	390
335	197	389
336	197	388
337	197	387
338	198	386
339	198	385
340	199	384
341	199	383
342	199	382
343	200	381
344	200	380
345	201	381
346	202	380
347	202	379
348	202	378
349	203	377
350	203	376
351	204	375
352	204	374
353	205	374
354	205	373
355	206	372
356	207	373
357	208	373
358	208	372
359	209	371
360	209	370
361	209	369
362	210	369
363	210	368
364	211	367
365	211	366
366	211	365
367	212	364
368	212	363
369	213	362
370	213	362
371	213	361
372	214	360
373	214	359
374	215	358
375	215	357
376	215	356
377	216	355
378	216	354
379	216	353
380	217	353
381	217	352
382	218	351
383	218	350
384	218	349
385	219	348
386	219	347
387	220	347
388	220	346
389	220	345
390	221	344
391	221	343
392	222	342
393	222	342
394	222	341
395	223	340
396	223	339
397	223	338
398	224	337
399	224	337
400	225	336
401	225	335
402	226	335
403	226	334
404	226	333
405	227	332
406	227	331
407	228	330
408	228	330
409	228	329
410	229	328
411	229	327
412	230	327
413	230	326
414	230	325
415	231	324
416	231	323
417	232	323
418	232	322
419	232	321
420	233	320
421	233	319
422	233	319
423	234	318
424	234	317
425	235	316
426	236	316
427	236	316
428	237	315
429	237	314
430	237	313
431	238	313
432	238	312
433	238	311
434	239	310
435	239	310
436	240	309
437	240	308
438	240	307
439	241	307
440	241	306
441	242	305
442	242	304
443	242	304
444	243	303
445	243	302
446	243	301
447	244	301
448	244	300
449	245	299
450	245	298
451	245	297
452	246	297
453	246	296
454	246	295
455	247	295
456	247	294
457	248	293
458	248	292
459	248	292
460	249	291
461	249	290
462	250	290
463	250	289
464	250	288
465	251	288
466	251	287
467	252	286
468	252	285
469	252	285
470	253	284
471	253	283
472	253	282
473	254	282
474	254	281
475	254	280
476	255	279
477	255	279
478	256	278
479	256	277
480	256	277
481	257	276
482	257	275
483	258	275
484	258	274
485	258	273
486	259	273
487	259	272
488	259	271
489	260	271
490	260	270
491	261	269
492	261	269
493	262	268
494	262	267
495	262	267
496	263	266
497	263	265
498	263	264
499	264	264
500	264	263
501	265	262
502	265	262
503	265	261
504	266	261
505	266	260
506	267	259
507	267	259
508	268	258
509	268	257
510	268	257
511	269	256
512	269	255
513	270	255
514	270	254
515	270	254
516	271	253
517	271	252
518	272	252
519	272	251
520	273	251
521	273	250
522	274	250
523	274	249
524	274	248
525	275	248
526	275	247
527	276	246
528	276	246
529	277	245
530	277	245
531	277	244
532	278	243
533	278	243
534	278	242
535	279	241
536	279	241
537	280	240
538	280	239
539	280	239
540	281	238
541	281	237
542	281	237
543	282	236
544	282	236
545	283	235
546	283	234
547	283	234
548	284	233
549	284	232
550	284	232
551	285	231
552	285	230
553	286	230
554	286	229
555	287	229
556	287	228
557	287	227
558	288	227
559	288	226
560	288	226
561	289	225
562	289	224
563	290	224
564	290	223
565	291	223
566	291	222
567	291	221
568	292	221
569	292	220
570	293	220
571	293	219
572	293	218
573	294	218
574	294	217
575	294	217
576	295	216
577	295	215
578	295	215
579	296	214
580	296	213
581	296	213
582	297	212
583	297	212
584	298	211
585	298	211
586	299	210
587	299	209
588	300	209
589	300	208
590	300	208
591	301	207
592	301	206
593	301	206
594	302	205
595	302	205
596	303	204
597	303	204
598	304	203
599	304	202
600	304	202
601	305	201
602	305	201
603	305	200
604	306	200
605	306	199
606	307	198
607	307	198
608	307	197
609	308	197
610	308	196
611	309	195
612	309	195
613	309	194
614	310	194
615	310	193
616	311	193
617	311	192
618	312	192
619	312	191
620	313	191
621	313	190
622	313	190
623	314	189
624	314	188
625	315	188
626	315	187
627	316	187
628	316	186
629	316	186
630	317	185
631	317	184
632	318	184
633	318	183
634	318	183
635	319	182
636	319	182
637	319	181
638	320	180
639	320	180
640	321	179
641	321	179
642	321	178
643	322	178
644	322	177
645	323	177
646	323	176
647	324	176
648	324	175
649	324	174
650	325	174
651	325	173
652	326	173
653	326	172
654	326	172
655	327	171
656	327	170
657	327	170
658	328	169
659	328	169
660	328	168
661	329	168
662	329	167
663	330	167
664	330	166
665	330	165
666	331	165
667	331	164
668	331	164
669	332	163
670	332	163
671	333	162
672	333	162
673	333	161
674	334	160
675	334	160
676	335	159
677	335	159
678	335	158
679	336	158
680	336	157
681	337	157
682	337	156
683	337	156
684	338	155
685	338	154
686	339	154
687	339	153
688	339	153
689	340	152
690	340	152
691	340	151
692	341	151
693	341	150
694	342	150
695	342	149
696	342	149
697	343	148
698	343	148
699	344	147
700	344	146
701	344	146
702	345	145
703	345	145
704	345	144
705	346	144
706	346	143
707	346	143
708	347	142
709	347	142
710	348	141
711	348	141
712	348	140
713	349	139
714	349	139
715	350	138
716	350	138
717	350	137
718	351	137
719	351	136
720	351	136
721	352	135
722	352	135
723	353	134
724	353	134
725	353	133
726	354	133
727	354	132
728	355	131
729	355	131
730	355	130
731	356	130
732	356	129
733	356	129
734	357	128
735	357	128
736	358	127
737	358	127
738	358	126
739	359	126
740	359	125
741	359	125
742	360	124
743	360	124
744	361	123
745	361	123
746	361	122
747	362	122
748	362	121
749	363	121
750	363	120
751	363	120
752	364	119
753	364	118
754	365	118
755	365	117
756	365	117
757	366	116
758	366	116
759	367	115
760	367	115
761	367	114
762	368	114
763	368	113
764	368	113
765	369	112
766	369	112
767	370	111
768	370	111
769	371	110
770	371	110
771	371	109
772	372	109
773	372	108
774	372	108
775	373	107
776	373	107
777	374	106
778	374	106
779	374	105
780	375	105
781	375	104
782	375	104
783	376	103
784	376	103
785	377	102
786	377	102
787	377	101
788	378	101
789	378	100
790	378	100
791	379	99
792	379	99
793	380	98
794	380	98
795	380	97
796	381	97
797	381	96
798	381	96
799	382	95
800	382	95
801	383	94
802	383	94
803	383	93
804	384	93
805	384	92
806	384	92
807	385	91
808	385	91
809	386	90
810	386	90
811	386	89
812	387	89
813	387	88
814	387	88
815	388	87
816	388	87
817	388	86
818	389	86
819	389	85
820	389	85
821	390	84
822	390	84
823	391	83
824	391	83
825	391	82
826	392	82
827	392	81
828	393	81
829	393	80
830	393	80
831	394	79
832	394	79
833	394	78
834	395	78
835	395	77
836	396	77
837	396	76
838	396	76
839	397	75
840	397	75
841	398	74
842	398	74
843	398	73
844	399	73
845	399	72
846	399	72
847	400	71
848	400	71
849	401	70
850	401	70
851	401	69
852	402	69
853	402	68
854	402	68
855	403	67
856	403	67
857	404	66
858	404	66
859	404	65
860	405	65
861	405	64
862	406	64
863	406	63
864	406	63
865	407	63
866	407	62
867	407	62
868	408	61
869	408	61
870	409	60
871	409	60
872	409	59
873	410	59
874	410	58
875	410	58
876	411	57
877	411	57
878	412	56
879	412	56
880	412	55
881	413	55
882	413	54
883	414	54
884	414	53
885	414	53
886	415	52
887	415	52
888	415	51
889	416	51
890	416	50
891	417	50
892	417	50
893	417	49
894	418	49
895	418	48
896	418	48
897	419	47
898	419	47
899	420	46
900	420	46
901	420	45
902	421	45
903	421	44
904	422	44
905	422	43
906	422	43
907	423	42
908	423	42
909	423	41
910	424	41
911	424	40
912	425	40
913	425	40
914	425	39
915	426	39
916	426	38
917	427	38
918	427	37
919	427	37
920	428	36
921	428	36
922	428	35
923	429	35
924	429	34
925	430	34
926	430	33
927	430	33
928	431	32
929	431	32
930	431	32
931	432	31
932	432	31
933	433	30
934	433	30
935	433	29
936	434	29
937	434	28
938	434	28
939	435	27
940	435	27
941	435	26
942	436	26
943	436	25
944	437	25
945	437	24
946	437	24
947	438	24
948	438	23
949	439	23
950	439	22
951	439	22
952	440	21
953	440	21
954	441	20
955	441	20
956	442	19
957	442	19
958	442	18
959	443	18
960	443	18
961	443	17
962	444	17
963	444	16
964	445	16
965	445	15
966	445	15
967	446	14
968	446	14
969	446	13
970	447	13
971	447	12
972	448	12
973	448	11
974	449	11
975	449	11
976	449	10
977	450	10
978	450	9
979	450	9
980	451	8
981	451	8
982	452	7
983	452	7
984	452	6
985	453	6
986	453	5
987	454	5
988	454	5
989	454	4
990	455	4
991	455	3
992	455	3
993	456	2
994	456	2
995	457	1
996	457	1
997	457	0
998	458	0
999	458	0
